hashed_author,first_name,name_key
hep-th|Withers|Benjamin,Benjamin,benjamin
physics|Colombo|Camilla,Camilla,camilla
gr-qc|Leon|Genly,Genly,genly
cond-mat|Liu|Yiqun,Yiqun,yiqun
math|Ganapathysubramanian|Baskar,Baskar,baskar
cond-mat|Marcus|Charles M.,Charles M.,charles
gr-qc|Liu|Honghui,Honghui,honghui
astro-ph|Nakashi|Keisuke,Keisuke,keisuke
eess|Saeys|Wouter,Wouter,wouter
cs|Chen|Lei,Lei,lei
astro-ph|Oh|Sang Hoon,Sang Hoon,sang
hep-ph|Mantani|Luca,Luca,luca
hep-ph|Guedes|Guilherme,Guilherme,guilherme
astro-ph|Krumpe|Mirko,Mirko,mirko
cs|Xiao|Jing,Jing,jing
cond-mat|Braive|Rémy,Rémy,rémy
cond-mat|Malinowski|Filip K.,Filip K.,filip
gr-qc|Bachas|Constantin,Constantin,constantin
cs|Lu|Guangyue,Guangyue,guangyue
math|Hopf|Katharina,Katharina,katharina
math|Gudmundsson|Sigmundur,Sigmundur,sigmundur
gr-qc|Bellorin|Jorge,Jorge,jorge
math|Imakura|Akira,Akira,akira
stat|Kundu|Debasis,Debasis,debasis
cond-mat|Majumdar|Pinaki,Pinaki,pinaki
cond-mat|Qin|Lupei,Lupei,lupei
math|Kravchuk|Petr,Petr,petr
cond-mat|Fehske|Holger,Holger,holger
astro-ph|Percival|Will J.,Will J.,will
gr-qc|Veermäe|Hardi,Hardi,hardi
cs|Moses|William K.,William K.,william
math|Shi|Qingjiang,Qingjiang,qingjiang
math|Chung|Julianne,Julianne,julianne
hep-ex|Polesello|Giacomo,Giacomo,giacomo
math|Cristofori|Paola,Paola,paola
cond-mat|Kawaguchi|Tomoya,Tomoya,tomoya
astro-ph|Petrosian|Vahé,Vahé,vahé
math|Rosenberg|Josh,Josh,josh
physics|Verscharen|Daniel,Daniel,daniel
math|Todorov|Ivan,Ivan,ivan
cond-mat|Sclocchi|Antonio,Antonio,antonio
quant-ph|Loss|Daniel,Daniel,daniel
quant-ph|Cabello|Adán,Adán,adán
cs|Zhang|Jinao,Jinao,jinao
math|Wong|Tony W. H.,Tony W. H.,tony
hep-lat|Li|Yuan,Yuan,yuan
cs|Caldwell|Darwin G.,Darwin G.,darwin
cs|Hillmann|Peter,Peter,peter
cond-mat|Liu|Shuo,Shuo,shuo
astro-ph|Vercellone|Stefano,Stefano,stefano
cond-mat|Roman|Benoît,Benoît,benoît
math|de Micheaux|Pierre Lafaye,Pierre Lafaye,pierre
physics|Wilkinson|Timothy D.,Timothy D.,timothy
physics|Camarri|Paolo,Paolo,paolo
astro-ph|Evans|Thomas M.,Thomas M.,thomas
cs|Cavallo|Evan,Evan,evan
gr-qc|Mifsud|Jurgen,Jurgen,jurgen
math|Bertaglia|Giulia,Giulia,giulia
math|Yao|Hanwen,Hanwen,hanwen
hep-th|Delgado|Jorge F. M.,Jorge F. M.,jorge
eess|Sadhu|Vidyasagar,Vidyasagar,vidyasagar
math|Stan|Diana,Diana,diana
math|Karaca|Orcun,Orcun,orcun
quant-ph|Görlitz|Johannes,Johannes,johannes
physics|Shiltsev|Vladimir,Vladimir,vladimir
cond-mat|Takemura|Naotomo,Naotomo,naotomo
cond-mat|Wang|Yixiu,Yixiu,yixiu
astro-ph|Ghosh|Basundhara,Basundhara,basundhara
cond-mat|Matsuda|Yuji,Yuji,yuji
hep-th|Carr|Bernard,Bernard,bernard
nucl-th|Hillmann|Paula,Paula,paula
cond-mat|Kvashnin|Yaroslav O.,Yaroslav O.,yaroslav
gr-qc|Rüter|Hannes R.,Hannes R.,hannes
physics|An|Weiming,Weiming,weiming
hep-ex|Lasenby|Robert,Robert,robert
physics|Willatt|Michael J.,Michael J.,michael
astro-ph|Peterson|Bradley M.,Bradley M.,bradley
math|Griffin|Christopher,Christopher,christopher
astro-ph|Perez-Torres|Miguel,Miguel,miguel
gr-qc|Betzwieser|Joseph,Joseph,joseph
astro-ph|Dawson|Kyle S.,Kyle S.,kyle
math|Lee|Orlando,Orlando,orlando
eess|Ramos|Luis Miguel Lopez,Luis Miguel Lopez,luis
physics|Buddhiraju|Siddharth,Siddharth,siddharth
hep-ph|von Buddenbrock|Stefan,Stefan,stefan
q-fin|Bucci|Frédéric,Frédéric,frédéric
math|Shinohara|Masashi,Masashi,masashi
cs|Huang|Xuehai,Xuehai,xuehai
math|Mukherjee|Satyaki,Satyaki,satyaki
math|Kim|Inkang,Inkang,inkang
hep-ph|Bhardwaj|Akanksha,Akanksha,akanksha
math|Sopena|Éric,Éric,éric
astro-ph|McCormac|James,James,james
cond-mat|Liu|Guo-Dong,Guo-Dong,guo-dong
hep-ex|Duarte|Javier,Javier,javier
cs|Petrillo|Umberto Ferraro,Umberto Ferraro,umberto
cond-mat|Dubessy|Romain,Romain,romain
hep-ph|Smith|Christopher,Christopher,christopher
math|Larios|Adam,Adam,adam
astro-ph|Leurini|Silvia,Silvia,silvia
