hashed_author,first_name,tag
physics|Alexandrov|A.,A.,initial
physics|Mikado|S.,S.,initial
hep-ex|Dabrowski|M.,M.,initial
cond-mat|Thewalt|M. L. W.,M. L. W.,initial
gr-qc|Delliou|M. Le,M. Le,initial
hep-ex|Lawson|I. T.,I. T.,initial
physics|Canonica|L.,L.,initial
hep-ph|Liu|T.,T.,initial
hep-ex|Matonoha|O.,O.,initial
astro-ph|Fujimoto|Y.,Y.,initial
hep-ph|Bellwied|R.,R.,initial
astro-ph|Simon|J.,J.,initial
astro-ph|Waisberg|I.,I.,initial
hep-ph|Sippach|F. W.,F. W.,initial
astro-ph|Saito|S.,S.,initial
astro-ph|Kalari|V. M.,V. M.,initial
physics|Holley|A. T.,A. T.,initial
hep-ph|Wang|B.,B.,initial
astro-ph|Puerari|I.,I.,initial
astro-ph|Fang|J. H.,J. H.,initial
astro-ph|Romano|D.,D.,initial
gr-qc|Wang|J.,J.,initial
nucl-ex|Mathe|Z.,Z.,initial
astro-ph|Alves|C. S.,C. S.,initial
nucl-ex|Zhang|S.,S.,initial
hep-ph|Seon|O.,O.,initial
hep-ph|Booth|C.,C.,initial
physics|Willingale|L.,L.,initial
physics|Kubik|A.,A.,initial
astro-ph|Hayakawa|H.,H.,initial
gr-qc|Nevin|L.,L.,initial
nucl-th|Fernandez-Ramirez|C.,C.,initial
hep-ph|Liu|J.,J.,initial
astro-ph|Garcia-Lopez|R.,R.,initial
nucl-ex|Kurepin|A.,A.,initial
cond-mat|Sushkov|O. P.,O. P.,initial
astro-ph|Vlemmings|W. H. T.,W. H. T.,initial
hep-ex|Mondal|N. K.,N. K.,initial
astro-ph|Andersen|P.,P.,initial
astro-ph|Fédou|P.,P.,initial
cond-mat|Holenstein|S.,S.,initial
astro-ph|Perottoni|H. D.,H. D.,initial
physics|Calaprice|F.,F.,initial
astro-ph|Eker|Z.,Z.,initial
hep-ex|Stefaniak|M.,M.,initial
cond-mat|Dontschuk|N.,N.,initial
astro-ph|Conconi|P.,P.,initial
hep-ph|Lin|S.,S.,initial
nucl-ex|Labit|L.,L.,initial
hep-ex|Steiner|H.,H.,initial
nucl-ex|Lennarz|A.,A.,initial
astro-ph|Dietrich|T.,T.,initial
hep-ph|Kashur|L.,L.,initial
astro-ph|Duc|P. -A.,P. -A.,initial
nucl-ex|Fransen|C.,C.,initial
astro-ph|Turner|O. D.,O. D.,initial
hep-ph|Yi|L.,L.,initial
nucl-th|Kubono|S.,S.,initial
gr-qc|Chmiel|T.,T.,initial
astro-ph|Bakis|V.,V.,initial
cond-mat|Kouwenhoven|L. P.,L. P.,initial
hep-ex|Riccobene|G.,G.,initial
nlin|Yanovsky|V. V.,V. V.,initial
hep-ex|Yale|B.,B.,initial
astro-ph|Malandraki|O.,O.,initial
astro-ph|Bárczy|T.,T.,initial
cond-mat|Yasuoka|H.,H.,initial
nucl-ex|Juillard|A.,A.,initial
hep-ex|Bianconi|A.,A.,initial
nucl-ex|Morandin|M.,M.,initial
physics|Marshak|M.,M.,initial
astro-ph|Coppin|K.,K.,initial
quant-ph|Wrachtrup|J.,J.,initial
nucl-ex|Clayton|S. M.,S. M.,initial
physics|Blaszczyk|F. D. M.,F. D. M.,initial
astro-ph|Miller|K.,K.,initial
astro-ph|Sen|K.,K.,initial
hep-ex|Bian|J.,J.,initial
hep-ex|Liu|Z. Z.,Z. Z.,initial
hep-ex|Woodruff|K.,K.,initial
physics|Noble|G. I.,G. I.,initial
physics|Underwood|R.,R.,initial
hep-ex|Iyer|V.,V.,initial
hep-th|Pimentel|B. M.,B. M.,initial
physics|LoSecco|J. M.,J. M.,initial
nucl-ex|Giacomini|G.,G.,initial
hep-ex|Krzemien|W.,W.,initial
cond-mat|Seidl|J.,J.,initial
hep-ph|Britzger|D.,D.,initial
nucl-th|Moriya|H.,H.,initial
cond-mat|Garanin|D. A.,D. A.,initial
astro-ph|Walder|R.,R.,initial
math|Maslova|N. V.,N. V.,initial
astro-ph|Riaz|R.,R.,initial
astro-ph|Gartner|A.,A.,initial
astro-ph|Giles|P.,P.,initial
astro-ph|Luisi|M.,M.,initial
gr-qc|Marchio|M.,M.,initial
astro-ph|Avelino|A.,A.,initial
cond-mat|Fedorov|A.,A.,initial
astro-ph|Meadors|G. D.,G. D.,initial
hep-lat|Kamleh|W.,W.,initial
gr-qc|Morisaki|S.,S.,initial
physics|Henderson|J. R.,J. R.,initial
astro-ph|Franke|A.,A.,initial
quant-ph|Kimble|H. J.,H. J.,initial
astro-ph|Dragomir|D.,D.,initial
cond-mat|van Delft|M. R.,M. R.,initial
astro-ph|Wu|D. S.,D. S.,initial
nucl-ex|Palutan|M.,M.,initial
astro-ph|Liu|J. S.,J. S.,initial
hep-th|Mourad|J.,J.,initial
hep-ex|Solovev|A.,A.,initial
physics|Guandalini|C.,C.,initial
nucl-ex|Levy|C.,C.,initial
hep-ph|de Vries|K. D.,K. D.,initial
math|Richter|R. Bruce,R. Bruce,initial
physics|Kozhuharov|V.,V.,initial
astro-ph|Koval'|V. V.,V. V.,initial
astro-ph|de la Torre|S.,S.,initial
cond-mat|Podlesnyak|A.,A.,initial
astro-ph|Królak|A.,A.,initial
astro-ph|Yang|Y. R.,Y. R.,initial
