hashed_author,first_name,name_key,gender,probability,count,gender_final
hep-th|Withers|Benjamin,Benjamin,benjamin,male,1.0,464369.0,male
physics|Colombo|Camilla,Camilla,camilla,female,1.0,104541.0,female
gr-qc|Leon|Genly,Genly,genly,female,0.55,20.0,female
cond-mat|Liu|Yiqun,Yiqun,yiqun,female,0.52,103.0,female
math|Ganapathysubramanian|Baskar,Baskar,baskar,male,0.96,2160.0,male
cond-mat|Marcus|Charles M.,Charles M.,charles,male,1.0,575070.0,male
gr-qc|Liu|Honghui,Honghui,honghui,male,0.57,45.0,male
astro-ph|Nakashi|Keisuke,Keisuke,keisuke,male,1.0,4934.0,male
eess|Saeys|Wouter,Wouter,wouter,male,1.0,15376.0,male
cs|Chen|Lei,Lei,lei,female,0.54,9555.0,female
astro-ph|Oh|Sang Hoon,Sang Hoon,sang,male,0.86,7812.0,male
hep-ph|Mantani|Luca,Luca,luca,male,0.97,444096.0,male
hep-ph|Guedes|Guilherme,Guilherme,guilherme,male,1.0,141119.0,male
astro-ph|Krumpe|Mirko,Mirko,mirko,male,1.0,113070.0,male
cs|Xiao|Jing,Jing,jing,female,0.78,11924.0,female
cond-mat|Braive|Rémy,Rémy,rémy,male,0.91,35909.0,male
cond-mat|Malinowski|Filip K.,Filip K.,filip,male,0.99,91252.0,male
gr-qc|Bachas|Constantin,Constantin,constantin,male,0.97,34264.0,male
cs|Lu|Guangyue,Guangyue,guangyue,male,0.62,19.0,male
math|Hopf|Katharina,Katharina,katharina,female,0.99,64484.0,female
math|Gudmundsson|Sigmundur,Sigmundur,sigmundur,male,0.96,21.0,male
gr-qc|Bellorin|Jorge,Jorge,jorge,male,1.0,1254599.0,male
math|Imakura|Akira,Akira,akira,male,0.73,7370.0,male
stat|Kundu|Debasis,Debasis,debasis,male,0.98,967.0,male
cond-mat|Majumdar|Pinaki,Pinaki,pinaki,male,0.9,360.0,male
cond-mat|Qin|Lupei,Lupei,lupei,female,0.52,40.0,female
math|Kravchuk|Petr,Petr,petr,male,0.99,186980.0,male
cond-mat|Fehske|Holger,Holger,holger,male,1.0,42673.0,male
astro-ph|Percival|Will J.,Will J.,will,male,0.99,168330.0,male
gr-qc|Veermäe|Hardi,Hardi,hardi,male,0.91,1213.0,male
cs|Moses|William K.,William K.,william,male,1.0,916147.0,male
math|Shi|Qingjiang,Qingjiang,qingjiang,male,0.82,9.0,male
math|Chung|Julianne,Julianne,julianne,female,1.0,16449.0,female
hep-ex|Polesello|Giacomo,Giacomo,giacomo,male,1.0,113925.0,male
math|Cristofori|Paola,Paola,paola,female,0.99,514227.0,female
cond-mat|Kawaguchi|Tomoya,Tomoya,tomoya,male,0.99,2061.0,male
astro-ph|Petrosian|Vahé,Vahé,vahé,male,0.99,3167.0,male
math|Rosenberg|Josh,Josh,josh,male,1.0,292693.0,male
physics|Verscharen|Daniel,Daniel,daniel,male,0.99,2473313.0,male
math|Todorov|Ivan,Ivan,ivan,male,0.99,698976.0,male
cond-mat|Sclocchi|Antonio,Antonio,antonio,male,0.99,1711651.0,male
quant-ph|Loss|Daniel,Daniel,daniel,male,0.99,2473313.0,male
quant-ph|Cabello|Adán,Adán,adán,male,0.97,45155.0,male
cs|Zhang|Jinao,Jinao,jinao,male,0.83,4.0,male
math|Wong|Tony W. H.,Tony W. H.,tony,male,0.99,753949.0,male
hep-lat|Li|Yuan,Yuan,yuan,male,0.53,6219.0,male
cs|Caldwell|Darwin G.,Darwin G.,darwin,male,0.99,56203.0,male
cs|Hillmann|Peter,Peter,peter,male,1.0,1352696.0,male
cond-mat|Liu|Shuo,Shuo,shuo,male,0.66,778.0,male
astro-ph|Vercellone|Stefano,Stefano,stefano,male,1.0,399957.0,male
cond-mat|Roman|Benoît,Benoît,benoît,male,0.99,107598.0,male
math|de Micheaux|Pierre Lafaye,Pierre Lafaye,pierre,male,0.99,380234.0,male
physics|Wilkinson|Timothy D.,Timothy D.,timothy,male,1.0,226625.0,male
physics|Camarri|Paolo,Paolo,paolo,male,1.0,420714.0,male
astro-ph|Evans|Thomas M.,Thomas M.,thomas,male,1.0,1246668.0,male
cs|Cavallo|Evan,Evan,evan,male,0.98,111380.0,male
gr-qc|Mifsud|Jurgen,Jurgen,jurgen,male,1.0,50839.0,male
math|Bertaglia|Giulia,Giulia,giulia,female,0.99,252152.0,female
math|Yao|Hanwen,Hanwen,hanwen,male,0.74,128.0,male
hep-th|Delgado|Jorge F. M.,Jorge F. M.,jorge,male,1.0,1254599.0,male
eess|Sadhu|Vidyasagar,Vidyasagar,vidyasagar,male,0.96,265.0,male
math|Stan|Diana,Diana,diana,female,0.99,849770.0,female
math|Karaca|Orcun,Orcun,orcun,male,0.98,3495.0,male
quant-ph|Görlitz|Johannes,Johannes,johannes,male,1.0,90835.0,male
physics|Shiltsev|Vladimir,Vladimir,vladimir,male,1.0,176628.0,male
cond-mat|Takemura|Naotomo,Naotomo,naotomo,male,0.8,3.0,male
cond-mat|Wang|Yixiu,Yixiu,yixiu,female,0.79,27.0,female
astro-ph|Ghosh|Basundhara,Basundhara,basundhara,female,0.93,25.0,female
cond-mat|Matsuda|Yuji,Yuji,yuji,male,0.99,6266.0,male
hep-th|Carr|Bernard,Bernard,bernard,male,0.99,226125.0,male
nucl-th|Hillmann|Paula,Paula,paula,female,0.99,601220.0,female
cond-mat|Kvashnin|Yaroslav O.,Yaroslav O.,yaroslav,male,1.0,10888.0,male
gr-qc|Rüter|Hannes R.,Hannes R.,hannes,male,1.0,28638.0,male
physics|An|Weiming,Weiming,weiming,male,0.94,324.0,male
hep-ex|Lasenby|Robert,Robert,robert,male,1.0,1568940.0,male
physics|Willatt|Michael J.,Michael J.,michael,male,1.0,2538090.0,male
astro-ph|Peterson|Bradley M.,Bradley M.,bradley,male,1.0,90031.0,male
math|Griffin|Christopher,Christopher,christopher,male,1.0,661393.0,male
astro-ph|Perez-Torres|Miguel,Miguel,miguel,male,1.0,1042724.0,male
gr-qc|Betzwieser|Joseph,Joseph,joseph,male,0.99,791182.0,male
astro-ph|Dawson|Kyle S.,Kyle S.,kyle,male,0.99,272334.0,male
math|Lee|Orlando,Orlando,orlando,male,0.99,170118.0,male
eess|Ramos|Luis Miguel Lopez,Luis Miguel Lopez,luis,male,1.0,1798323.0,male
physics|Buddhiraju|Siddharth,Siddharth,siddharth,male,1.0,38310.0,male
hep-ph|von Buddenbrock|Stefan,Stefan,stefan,male,0.99,365043.0,male
q-fin|Bucci|Frédéric,Frédéric,frédéric,male,0.99,170039.0,male
math|Shinohara|Masashi,Masashi,masashi,male,1.0,3603.0,male
cs|Huang|Xuehai,Xuehai,xuehai,male,0.9,18.0,male
math|Mukherjee|Satyaki,Satyaki,satyaki,male,0.99,88.0,male
math|Kim|Inkang,Inkang,inkang,male,0.8,3.0,male
